file_name, test_role_F1, test_role_P, test_role_R, test_trigger_F1, test_trigger_P, test_trigger_R,
fsl_adapter_--is_knowledge_len5_shot1_few_shot_1_2021-11-04-18-53, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_adapter__len5_shot10_few_shot_10_2021-11-05-02-14, 3.1339, 4.1825, 2.5057, 26.3374, 27.3504, 25.3968, 
fsl_adapter__len5_shot15_few_shot_15_2021-11-05-02-14, 2.3226, 2.4658, 2.1951, 26.9886, 28.5285, 25.6065, 
fsl_adapter__len5_shot1_few_shot_1_2021-11-05-02-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_adapter__len5_shot2_few_shot_2_2021-11-05-02-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_adapter__len5_shot5_few_shot_5_2021-11-05-02-14, 0.7299, 2.4691, 0.4283, 10.1351, 9.3946, 11.0024, 
fsl_both_--is_knowledge_len5_shot10_few_shot_10_2021-11-04-09-00, 12.7544, 15.7718, 10.7062, 44.4444, 48.1481, 41.2698, 
fsl_both_--is_knowledge_len5_shot10_few_shot_10_2021-11-05-02-14, 12.7544, 15.7718, 10.7062, 44.4444, 48.1481, 41.2698, 
fsl_both_--is_knowledge_len5_shot15_few_shot_15_2021-11-04-09-00, 29.0672, 26.1719, 32.6829, 57.2852, 53.2407, 61.9946, 
fsl_both_--is_knowledge_len5_shot15_few_shot_15_2021-11-05-02-14, 29.0672, 26.1719, 32.6829, 57.2852, 53.2407, 61.9946, 
fsl_both_--is_knowledge_len5_shot1_few_shot_1_2021-11-04-09-00, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_both_--is_knowledge_len5_shot1_few_shot_1_2021-11-05-02-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_both_--is_knowledge_len5_shot2_few_shot_2_2021-11-04-09-00, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_both_--is_knowledge_len5_shot2_few_shot_2_2021-11-05-02-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_both_--is_knowledge_len5_shot5_few_shot_5_2021-11-04-09-00, 1.99, 2.3739, 1.7131, 8.9965, 6.9612, 12.7139, 
fsl_both_--is_knowledge_len5_shot5_few_shot_5_2021-11-05-02-14, 1.99, 2.3739, 1.7131, 8.9965, 6.9612, 12.7139, 
fsl_both_--no_module_len5_shot10_few_shot_10_2021-11-03-17-56, 5.2854, 3.4412, 11.3895, 38.8398, 37.1084, 40.7407, 
fsl_both_--no_module_len5_shot15_few_shot_15_2021-11-03-17-56, 27.9357, 28.3208, 27.561, 57.931, 59.322, 56.6038, 
fsl_both_--no_module_len5_shot1_few_shot_1_2021-11-03-17-56, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_both_--no_module_len5_shot2_few_shot_2_2021-11-03-17-56, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_both_--no_module_len5_shot5_few_shot_5_2021-11-03-17-56, 0.9019, 0.9524, 0.8565, 6.7064, 4.8232, 11.0024, 
fsl_both__len5_shot10_few_shot_10_2021-11-05-02-14, 33.4716, 42.6056, 27.5626, 63.1285, 66.8639, 59.7884, 
fsl_both__len5_shot15_few_shot_15_2021-11-05-02-14, 37.5, 44.898, 32.1951, 68.1754, 71.7262, 64.9596, 
fsl_both__len5_shot1_few_shot_1_2021-11-05-02-14, 0.0, 0.0, 0.0, 15.6472, 19.2982, 13.1579, 
fsl_both__len5_shot2_few_shot_2_2021-11-05-02-14, 4.0441, 14.6667, 2.3454, 34.3381, 38.6431, 30.8962, 
fsl_both__len5_shot5_few_shot_5_2021-11-05-02-14, 21.2703, 34.2857, 15.4176, 53.0667, 58.3578, 48.6553, 
fsl_both_adapter_--is_knowledge_len5_shot1_few_shot_1_2021-11-04-18-58, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
