file_name, test_role_F1, test_role_P, test_role_R, test_trigger_F1, test_trigger_P, test_trigger_R,
fsl_both_--is_knowledge_len5_shot10_few_shot_10_2021-11-04-09-00, 12.7544, 15.7718, 10.7062, 44.4444, 48.1481, 41.2698, 
fsl_both_--is_knowledge_len5_shot15_few_shot_15_2021-11-04-09-00, 29.0672, 26.1719, 32.6829, 57.2852, 53.2407, 61.9946, 
fsl_both_--is_knowledge_len5_shot1_few_shot_1_2021-11-04-09-00, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_both_--is_knowledge_len5_shot2_few_shot_2_2021-11-04-09-00, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_both_--is_knowledge_len5_shot5_few_shot_5_2021-11-04-09-00, 1.99, 2.3739, 1.7131, 8.9965, 6.9612, 12.7139, 
fsl_both_--no_module_len5_shot10_few_shot_10_2021-11-03-17-56, 5.2854, 3.4412, 11.3895, 38.8398, 37.1084, 40.7407, 
fsl_both_--no_module_len5_shot15_few_shot_15_2021-11-03-17-56, 27.9357, 28.3208, 27.561, 57.931, 59.322, 56.6038, 
fsl_both_--no_module_len5_shot1_few_shot_1_2021-11-03-17-56, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_both_--no_module_len5_shot2_few_shot_2_2021-11-03-17-56, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_both_--no_module_len5_shot5_few_shot_5_2021-11-03-17-56, 0.9019, 0.9524, 0.8565, 6.7064, 4.8232, 11.0024, 
fsl_fine_--is_knowledge_len5_shot10_few_shot_10_2021-11-04-09-00, 6.6576, 4.7435, 11.1617, 43.3936, 45.7478, 41.2698, 
fsl_fine_--is_knowledge_len5_shot15_few_shot_15_2021-11-04-09-00, 29.3706, 24.8731, 35.8537, 61.2903, 61.126, 61.4555, 
fsl_fine_--is_knowledge_len5_shot1_few_shot_1_2021-11-04-09-00, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_fine_--is_knowledge_len5_shot2_few_shot_2_2021-11-04-09-00, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_fine_--is_knowledge_len5_shot5_few_shot_5_2021-11-04-09-00, 2.0165, 1.7628, 2.3555, 8.4382, 6.051, 13.9364, 
fsl_fine_--no_module_len5_shot10_few_shot_10_2021-11-03-17-56, 8.9922, 6.8155, 13.2118, 44.9635, 50.1629, 40.7407, 
fsl_fine_--no_module_len5_shot15_few_shot_15_2021-11-03-17-56, 23.5182, 19.3396, 30.0, 62.9371, 65.407, 60.6469, 
