file_name, test_role_F1, test_role_P, test_role_R, test_trigger_F1, test_trigger_P, test_trigger_R,
fsl_adapter__len5_shot10_few_shot_10_2021-11-07-03-19, 3.8576, 5.5319, 2.9613, 28.8858, 30.086, 27.7778, 
fsl_adapter__len5_shot15_few_shot_15_2021-11-07-03-19, 3.5139, 4.3956, 2.9268, 33.1797, 38.5714, 29.1105, 
fsl_adapter__len5_shot1_few_shot_1_2021-11-07-03-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_adapter__len5_shot2_few_shot_2_2021-11-07-03-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_adapter__len5_shot5_few_shot_5_2021-11-07-03-19, 2.0, 4.5113, 1.2848, 9.2873, 8.3172, 10.5134, 
fsl_both_--is_knowledge_len5_shot10_few_shot_10_2021-11-07-03-19, 12.3796, 15.625, 10.2506, 47.1264, 51.5723, 43.3862, 
fsl_both_--is_knowledge_len5_shot15_few_shot_15_2021-11-07-03-19, 27.824, 27.1462, 28.5366, 60.2667, 59.6306, 60.9164, 
fsl_both_--is_knowledge_len5_shot1_few_shot_1_2021-11-07-03-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_both_--is_knowledge_len5_shot2_few_shot_2_2021-11-07-03-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_both_--is_knowledge_len5_shot5_few_shot_5_2021-11-07-03-19, 1.241, 1.2, 1.2848, 9.2559, 7.3593, 12.4694, 
fsl_both__len5_shot10_few_shot_10_2021-11-07-03-19, 35.8127, 45.2962, 29.6128, 66.9344, 67.7507, 66.1376, 
fsl_both__len5_shot15_few_shot_15_2021-11-07-03-19, 42.3077, 48.4277, 37.561, 70.6704, 73.3333, 68.1941, 
fsl_both__len5_shot1_few_shot_1_2021-11-07-03-19, 0.0, 0.0, 0.0, 15.4286, 19.1489, 12.9187, 
fsl_both__len5_shot2_few_shot_2_2021-11-07-03-19, 4.1746, 18.9655, 2.3454, 35.591, 40.7295, 31.6038, 
