file_name, test_role_F1, test_role_P, test_role_R, test_trigger_F1, test_trigger_P, test_trigger_R,
fsl_hybrid_--is_knowledge_len5_shot10_few_shot_10_2021-11-08-20-17, 14.2631, 23.4375, 10.2506, 45.9941, 52.3649, 41.0053, 
fsl_hybrid_--is_knowledge_len5_shot10_few_shot_10_2021-11-08-21-05, 14.2631, 23.4375, 10.2506, 45.9941, 52.3649, 41.0053, 
fsl_hybrid_--is_knowledge_len5_shot15_few_shot_15_2021-11-08-20-17, 30.7692, 43.1718, 23.9024, 61.997, 69.3333, 56.0647, 
fsl_hybrid_--is_knowledge_len5_shot15_few_shot_15_2021-11-08-21-05, 30.7692, 43.1718, 23.9024, 61.997, 69.3333, 56.0647, 
fsl_hybrid_--is_knowledge_len5_shot1_few_shot_1_2021-11-08-20-17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_hybrid_--is_knowledge_len5_shot1_few_shot_1_2021-11-08-21-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_hybrid_--is_knowledge_len5_shot2_few_shot_2_2021-11-08-20-17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_hybrid_--is_knowledge_len5_shot2_few_shot_2_2021-11-08-21-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_hybrid_--is_knowledge_len5_shot5_few_shot_5_2021-11-08-20-17, 3.6437, 33.3333, 1.9272, 22.7618, 30.0, 18.3374, 
fsl_hybrid_--is_knowledge_len5_shot5_few_shot_5_2021-11-08-21-05, 3.6437, 33.3333, 1.9272, 22.7618, 30.0, 18.3374, 
fsl_hydridpp_--is_knowledge_len5_shot10_few_shot_10_2021-11-08-20-17, 8.9922, 6.8155, 13.2118, 44.9635, 50.1629, 40.7407, 
fsl_hydridpp_--is_knowledge_len5_shot15_few_shot_15_2021-11-08-20-17, 23.5182, 19.3396, 30.0, 62.9371, 65.407, 60.6469, 
fsl_hydridpp_--is_knowledge_len5_shot1_few_shot_1_2021-11-08-20-17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_hydridpp_--is_knowledge_len5_shot2_few_shot_2_2021-11-08-20-17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_hydridpp_--is_knowledge_len5_shot5_few_shot_5_2021-11-08-20-17, 1.0733, 0.9217, 1.2848, 8.0425, 5.8306, 12.9584, 
zsl_both_--is_knowledge_len5_oneie_23_training_2021-11-04-04-17, 22.9249, 40.2778, 16.0221, 31.5271, 60.3774, 21.3333, 
zsl_fine_--is_knowledge_len5_oneie_23_training_2021-11-04-04-17, 20.6897, 33.75, 14.9171, 30.7692, 55.1724, 21.3333, 
zsl_prefix_--is_knowledge_len5_oneie_23_training_2021-11-04-04-17, 8.9686, 23.8095, 5.5249, 27.0833, 61.9048, 17.3333, 
zslr_both_--is_knowledge_len5_rams_2021-11-04-04-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
zslr_fine_--is_knowledge_len5_rams_2021-11-04-04-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
zslr_prefix_--is_knowledge_len5_rams_2021-11-04-04-16, 0.0, 0.0, 0.0, 2.5723, 2.4845, 2.6667, 
zslw_both_--is_knowledge_len5_wikievents_2021-11-04-04-18, 12.6582, 64.8148, 7.014, 17.1558, 57.5758, 10.0796, 
zslw_fine_--is_knowledge_len5_wikievents_2021-11-04-04-18, 6.8966, 78.2609, 3.6072, 5.379, 34.375, 2.9178, 
zslw_hybrid_--is_knowledge_len5_wikievents_2021-11-08-19-48, 3.1746, 22.2222, 1.7094, 1.6807, 16.6667, 0.885, 
zslw_hybrid_--is_knowledge_len5_wikievents_2021-11-08-20-18, 3.1746, 22.2222, 1.7094, 1.6807, 16.6667, 0.885, 
zslw_hybridpp_--is_knowledge_len5_wikievents_2021-11-08-20-18, 3.1746, 22.2222, 1.7094, 1.6807, 16.6667, 0.885, 
zslw_prefix_--is_knowledge_len5_wikievents_2021-11-04-04-18, 0.0, 0.0, 0.0, 5.9801, 8.0, 4.7745, 
