file_name, test_role_F1, test_role_P, test_role_R, test_trigger_F1, test_trigger_P, test_trigger_R,
target_both__len20_shot1_oneie_1_ft_2021-11-13-12-41__sourcedata-few-shot_23_test_10_2021-11-13-12-41, 5.4545, 6.7416, 4.5802, 22.8782, 20.2614, 26.2712, 
target_both__len20_shot1_wikievents_2021-11-13-12-21__sourcedata-wikievents_2021-11-13-12-21, 13.8728, 21.4286, 10.2564, 19.7674, 28.8136, 15.0442, 
target_both__len20_shot2_oneie_2_ft_2021-11-13-12-41__sourcedata-few-shot_23_test_10_2021-11-13-12-41, 11.811, 12.1951, 11.4504, 25.8065, 22.3602, 30.5085, 
target_both__len20_shot2_wikievents_2021-11-13-12-21__sourcedata-wikievents_2021-11-13-12-21, 8.642, 15.5556, 5.9829, 19.1617, 29.6296, 14.1593, 
target_both__len20_shot5_wikievents_2021-11-13-12-21__sourcedata-wikievents_2021-11-13-12-21, 9.589, 24.1379, 5.9829, 6.5359, 12.5, 4.4248, 
target_fine__len20_shot1_oneie_1_ft_2021-11-13-11-53__sourcedata-few-shot_23_test_10_2021-11-13-11-53, 8.427, 6.6667, 11.4504, 22.2951, 18.1818, 28.8136, 
target_fine__len20_shot1_oneie_1_ft_2021-11-13-12-14__sourcedata-few-shot_23_test_10_2021-11-13-12-14, 8.427, 6.6667, 11.4504, 22.2951, 18.1818, 28.8136, 
target_fine__len20_shot2_oneie_2_ft_2021-11-13-11-53__sourcedata-few-shot_23_test_10_2021-11-13-11-53, 13.1507, 10.2564, 18.3206, 25.5474, 22.4359, 29.661, 
target_fine__len20_shot2_oneie_2_ft_2021-11-13-12-14__sourcedata-few-shot_23_test_10_2021-11-13-12-14, 13.1507, 10.2564, 18.3206, 25.5474, 22.4359, 29.661, 
target_fine__len20_shot5_oneie_5_ft_2021-11-13-11-53__sourcedata-few-shot_23_test_10_2021-11-13-11-53, 18.5897, 16.0221, 22.1374, 34.2205, 31.0345, 38.1356, 
target_fine__len20_shot5_oneie_5_ft_2021-11-13-12-14__sourcedata-few-shot_23_test_10_2021-11-13-12-14, 18.5897, 16.0221, 22.1374, 34.2205, 31.0345, 38.1356, 
target_prefix__len20_shot1_oneie_1_ft_2021-11-13-11-49__sourcedata-few-shot_23_test_10_2021-11-13-11-49, 0.0, 0.0, 0.0, 11.0092, 12.0, 10.1695, 
target_prefix__len20_shot1_oneie_1_ft_2021-11-13-11-51__sourcedata-few-shot_23_test_10_2021-11-13-11-51, 0.0, 0.0, 0.0, 11.0092, 12.0, 10.1695, 
target_prefix__len20_shot1_wikievents_2021-11-13-12-21__sourcedata-wikievents_2021-11-13-12-21, 9.7222, 25.9259, 5.9829, 18.6916, 19.802, 17.6991, 
target_prefix__len20_shot2_oneie_2_ft_2021-11-13-11-49__sourcedata-few-shot_23_test_10_2021-11-13-11-49, 4.0541, 17.6471, 2.2901, 13.3333, 23.4043, 9.322, 
target_prefix__len20_shot2_oneie_2_ft_2021-11-13-11-51__sourcedata-few-shot_23_test_10_2021-11-13-11-51, 4.0541, 17.6471, 2.2901, 13.3333, 23.4043, 9.322, 
target_prefix__len20_shot2_wikievents_2021-11-13-12-21__sourcedata-wikievents_2021-11-13-12-21, 4.4199, 6.25, 3.4188, 9.6618, 10.6383, 8.8496, 
target_prefix__len20_shot5_oneie_5_ft_2021-11-13-11-49__sourcedata-few-shot_23_test_10_2021-11-13-11-49, 3.9474, 14.2857, 2.2901, 19.2308, 22.2222, 16.9492, 
target_prefix__len20_shot5_oneie_5_ft_2021-11-13-11-51__sourcedata-few-shot_23_test_10_2021-11-13-11-51, 3.9474, 14.2857, 2.2901, 19.2308, 22.2222, 16.9492, 
target_prefix__len20_shot5_wikievents_2021-11-13-12-21__sourcedata-wikievents_2021-11-13-12-21, 9.6386, 16.3265, 6.8376, 13.7615, 14.2857, 13.2743, 


target_both__len20_shot1_oneie_1_ft_2021-11-13-12-41__sourcedata-few-shot_23_test_10_2021-11-13-12-41, 5.4545, 6.7416, 4.5802, 22.8782, 20.2614, 26.2712,
target_fine__len20_shot1_oneie_1_ft_2021-11-13-11-53__sourcedata-few-shot_23_test_10_2021-11-13-11-53, 8.427, 6.6667, 11.4504, 22.2951, 18.1818, 28.8136,
