file_name, test_role_F1, test_role_P, test_role_R, test_trigger_F1, test_trigger_P, test_trigger_R,
target_oov0_both_--is_knowledge_len20_numschema0_zsl_oov_2021-11-13-22-25__sourcedata-zsl_oov_2021-11-13-22-25, 11.1111, 7.2165, 24.1379, 21.2766, 13.0435, 57.6923, 
target_oov0_prefix_--is_knowledge_len20_numschema0_zsl_oov_2021-11-13-22-25__sourcedata-zsl_oov_2021-11-13-22-25, 0.0, 0.0, 0.0, 15.873, 10.0, 38.4615, 
target_oov10_both_--is_knowledge_len20_numschema10_zsl_oov_2021-11-13-22-25__sourcedata-zsl_oov_2021-11-13-22-25, 6.7797, 10.6667, 4.9689, 21.5385, 24.1379, 19.4444, 
target_oov10_prefix_--is_knowledge_len20_numschema10_zsl_oov_2021-11-13-22-25__sourcedata-zsl_oov_2021-11-13-22-25, 0.0, 0.0, 0.0, 16.3265, 19.802, 13.8889, 
target_oov5_both_--is_knowledge_len20_numschema5_zsl_oov_2021-11-13-22-25__sourcedata-zsl_oov_2021-11-13-22-25, 7.7295, 8.7912, 6.8966, 19.1781, 17.5, 21.2121, 
target_oov5_prefix_--is_knowledge_len20_numschema5_zsl_oov_2021-11-13-22-25__sourcedata-zsl_oov_2021-11-13-22-25, 0.0, 0.0, 0.0, 15.1515, 15.1515, 15.1515, 
target_oov_0_both_--is_knowledge_len20_numschema0_zsl_oov_2021-11-14-02-36__sourcedata-zsl_oov_2021-11-14-02-36, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
target_oov_0_both_--is_knowledge_len20_numschema0_zsl_oov_2021-11-14-02-51__sourcedata-zsl_oov_2021-11-14-02-51, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
target_oov_0_both_--is_knowledge_len20_numschema0_zsl_oov_2021-11-14-03-09__sourcedata-zsl_oov_2021-11-14-03-09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
target_oov_0_prefix_--is_knowledge_len20_numschema0_zsl_oov_2021-11-14-03-24__sourcedata-zsl_oov_2021-11-14-03-24, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
target_oov_10_both_--is_knowledge_len20_numschema10_zsl_oov_2021-11-14-02-36__sourcedata-zsl_oov_2021-11-14-02-36, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
target_oov_10_both_--is_knowledge_len20_numschema10_zsl_oov_2021-11-14-02-51__sourcedata-zsl_oov_2021-11-14-02-51, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
target_oov_10_prefix_--is_knowledge_len20_numschema10_zsl_oov_2021-11-14-03-24__sourcedata-zsl_oov_2021-11-14-03-24, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
target_oov_5_both_--is_knowledge_len20_numschema5_zsl_oov_2021-11-14-02-36__sourcedata-zsl_oov_2021-11-14-02-36, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
target_oov_5_both_--is_knowledge_len20_numschema5_zsl_oov_2021-11-14-02-51__sourcedata-zsl_oov_2021-11-14-02-51, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
target_oov_5_both_--is_knowledge_len20_numschema5_zsl_oov_2021-11-14-03-09__sourcedata-zsl_oov_2021-11-14-03-09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
target_oov_5_prefix_--is_knowledge_len20_numschema5_zsl_oov_2021-11-14-03-24__sourcedata-zsl_oov_2021-11-14-03-24, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
target_oovw_0_both_--is_knowledge_len20_numschema0_zslw_oov_2021-11-15-02-53__sourcedata-zslw_oov_2021-11-15-02-53, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
target_oovw_0_both_--is_knowledge_len20_numschema0_zslw_oov_2021-11-15-02-59__sourcedata-zslw_oov_2021-11-15-02-59, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
target_oovw_11_both_--is_knowledge_len20_numschema11_zslw_oov_2021-11-15-02-59__sourcedata-zslw_oov_2021-11-15-02-59, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
target_oovw_5_both_--is_knowledge_len20_numschema5_zslw_oov_2021-11-15-02-59__sourcedata-zslw_oov_2021-11-15-02-59, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
