file_name, test_role_F1, test_role_P, test_role_R, test_trigger_F1, test_trigger_P, test_trigger_R,
target_oovw_11_both__len20_numschema11_zslw_oov_2021-11-15-03-36__sourcedata-zslw_oov_2021-11-15-03-36, 10.7784, 18.0, 7.6923, 17.2185, 34.2105, 11.5044, 
target_oovw_11_both__len20_numschema11_zslw_oov_2021-11-15-10-10__sourcedata-zslw_oov_2021-11-15-10-10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
target_oovw_11_both__len20_numschema11_zslw_oov_2021-11-15-11-15__sourcedata-zslw_oov_2021-11-15-11-15, 10.7784, 18.0, 7.6923, 17.2185, 34.2105, 11.5044, 
target_oovw_11_fine__len20_numschema11_zslw_oov_2021-11-15-03-36__sourcedata-zslw_oov_2021-11-15-03-36, 3.1008, 16.6667, 1.7094, 3.1746, 15.3846, 1.7699, 
target_oovw_11_fine__len20_numschema11_zslw_oov_2021-11-15-11-15__sourcedata-zslw_oov_2021-11-15-11-15, 3.1008, 16.6667, 1.7094, 3.1746, 15.3846, 1.7699, 
target_oovw_11_prefix_--is_knowledge_len20_numschema11_zslw_oov_2021-11-15-10-10__sourcedata-zslw_oov_2021-11-15-10-10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
target_oovw_11_prefix__len20_numschema11_zslw_oov_2021-11-15-03-36__sourcedata-zslw_oov_2021-11-15-03-36, 5.9172, 9.6154, 4.2735, 5.5556, 7.4627, 4.4248, 
target_oovw_11_prefix__len20_numschema11_zslw_oov_2021-11-15-10-10__sourcedata-zslw_oov_2021-11-15-10-10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
target_oovw_11_prefix__len20_numschema11_zslw_oov_2021-11-15-11-15__sourcedata-zslw_oov_2021-11-15-11-15, 5.9172, 9.6154, 4.2735, 5.5556, 7.4627, 4.4248, 
target_oovw_5_both_--is_knowledge_len20_numschema5_zslw_oov_2021-11-15-02-59__sourcedata-zslw_oov_2021-11-15-02-59, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
target_oovw_5_both_--is_knowledge_len20_numschema5_zslw_oov_2021-11-15-10-10__sourcedata-zslw_oov_2021-11-15-10-10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
target_oovw_5_both__len20_numschema5_zslw_oov_2021-11-15-03-36__sourcedata-zslw_oov_2021-11-15-03-36, 11.1111, 18.0, 8.0357, 17.8082, 34.2105, 12.037, 
target_oovw_5_both__len20_numschema5_zslw_oov_2021-11-15-10-10__sourcedata-zslw_oov_2021-11-15-10-10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
target_oovw_5_both__len20_numschema5_zslw_oov_2021-11-15-11-15__sourcedata-zslw_oov_2021-11-15-11-15, 11.1111, 18.0, 8.0357, 17.8082, 34.2105, 12.037, 
target_oovw_5_fine__len20_numschema5_zslw_oov_2021-11-15-03-36__sourcedata-zslw_oov_2021-11-15-03-36, 3.2258, 16.6667, 1.7857, 3.3058, 15.3846, 1.8519, 
target_oovw_5_fine__len20_numschema5_zslw_oov_2021-11-15-11-15__sourcedata-zslw_oov_2021-11-15-11-15, 3.2258, 16.6667, 1.7857, 3.3058, 15.3846, 1.8519, 
target_oovw_5_prefix_--is_knowledge_len20_numschema5_zslw_oov_2021-11-15-10-10__sourcedata-zslw_oov_2021-11-15-10-10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
target_oovw_5_prefix__len20_numschema5_zslw_oov_2021-11-15-11-15__sourcedata-zslw_oov_2021-11-15-11-15, 6.5359, 12.1951, 4.4643, 6.0976, 8.9286, 4.6296, 
