file_name, test_role_F1, test_role_P, test_role_R, test_trigger_F1, test_trigger_P, test_trigger_R,
zslw_k_adapter__len20_wikievents_2021-11-15-15-39, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
zslw_k_adapter__len20_wikievents_2021-11-15-16-48, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
zslw_k_both_--is_knowledge_len20_wikievents_2021-11-15-15-39, 6.8493, 17.2414, 4.2735, 12.5, 29.0323, 7.9646, 
zslw_k_both_--is_knowledge_len20_wikievents_2021-11-15-16-48, 10.0719, 31.8182, 5.9829, 10.6061, 36.8421, 6.1947, 
zslw_k_both_--no_module_len20_wikievents_2021-11-15-15-39, 1.5625, 9.0909, 0.8547, 1.6529, 12.5, 0.885, 
zslw_k_both_--no_module_len20_wikievents_2021-11-15-16-48, 2.8777, 9.0909, 1.7094, 4.5802, 16.6667, 2.6549, 
zslw_k_both__len20_wikievents_2021-11-15-15-39, 11.8343, 19.2308, 8.547, 15.0943, 26.087, 10.6195, 
zslw_k_both__len20_wikievents_2021-11-15-16-48, 5.9259, 22.2222, 3.4188, 6.2016, 25.0, 3.5398, 
zslw_k_both_adapter__len20_wikievents_2021-11-15-15-39, 0.0, 0.0, 0.0, 4.2254, 10.3448, 2.6549, 
zslw_k_both_adapter__len20_wikievents_2021-11-15-16-48, 0.0, 0.0, 0.0, 4.7619, 23.0769, 2.6549, 
zslw_k_fine__len20_wikievents_2021-11-15-15-39, 3.1496, 20.0, 1.7094, 1.6667, 14.2857, 0.885, 
zslw_k_fine__len20_wikievents_2021-11-15-16-48, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
zslw_k_hybrid_--is_knowledge_len20_wikievents_2021-11-15-15-39, 8.2192, 20.6897, 5.1282, 16.2162, 34.2857, 10.6195, 
zslw_k_hybrid_--is_knowledge_len20_wikievents_2021-11-15-16-48, 21.6867, 36.7347, 15.3846, 24.3902, 39.2157, 17.6991, 
zslw_k_hybridpp_--is_knowledge_len20_wikievents_2021-11-15-15-39, 15.3846, 21.5385, 11.9658, 16.5746, 22.0588, 13.2743, 
zslw_k_hybridpp_--is_knowledge_len20_wikievents_2021-11-15-16-48, 10.6667, 24.2424, 6.8376, 21.7687, 47.0588, 14.1593, 
zslw_k_prefix_--is_knowledge_len20_wikievents_2021-11-15-15-39, 1.5748, 10.0, 0.8547, 1.6393, 11.1111, 0.885, 
zslw_k_prefix_--is_knowledge_len20_wikievents_2021-11-15-16-48, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
zslw_k_prefix_--no_module_len20_wikievents_2021-11-15-15-39, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
zslw_k_prefix_--no_module_len20_wikievents_2021-11-15-16-48, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
zslw_k_prefix__len20_wikievents_2021-11-15-15-39, 10.101, 12.3457, 8.547, 21.7195, 22.2222, 21.2389, 
zslw_k_prefix__len20_wikievents_2021-11-15-16-48, 7.2727, 12.5, 5.1282, 12.1212, 11.8644, 12.3894, 
